fiscal_week_id,item_id,merchant_id,merchant_name,city,address,state,zipcode,price
2019-11,991944605,2375539243,merchant37,city37,city37,state37,49995,259.45
2019-15,1163151894,7767507093,merchant31,city31,city31,state31,35838,255.21
2019-12,40066459,2542078802,merchant18,city18,city18,state18,63431,117.41
2019-11,9892616029,9528648021,merchant48,city48,city48,state48,44553,135.63
2019-15,8587179516,3431263330,merchant11,city11,city11,state11,90965,92.92
2019-11,5900366169,2542078802,merchant18,city18,city18,state18,63431,110.21
2019-11,6591102855,2241029174,merchant42,city42,city42,state42,92683,175.95
2019-12,6787772844,8958835534,merchant40,city40,city40,state40,21632,136.91
2019-12,2827266056,8081116301,merchant6,city6,city6,state6,82753,123.2
2019-12,7196850026,2854756039,merchant94,city94,city94,state94,35095,79.06
2019-11,7519578543,6203114196,merchant43,city43,city43,state43,30696,113.43
2019-14,943157526,2812047049,merchant58,city58,city58,state58,61016,128.97
2019-15,8889770580,1813194650,merchant93,city93,city93,state93,37304,156.11
2019-15,9373057053,6258623049,merchant8,city8,city8,state8,92495,159.28
2019-14,9713077150,1024320965,merchant60,city60,city60,state60,89320,144.06
2019-14,4433742286,3431263330,merchant11,city11,city11,state11,90965,228.8
2019-13,634995391,8233592212,merchant17,city17,city17,state17,81914,218.72
2019-11,3731111418,7287892549,merchant98,city98,city98,state98,76534,61.44
2019-15,8771967450,155556316,merchant92,city92,city92,state92,57194,219.11
2019-13,2064820915,8984439423,merchant56,city56,city56,state56,84107,145.68
2019-12,1967383933,9513682426,merchant91,city91,city91,state91,80637,63.17
2019-11,2819556651,7767507093,merchant31,city31,city31,state31,35838,250.87
2019-11,2619565507,155556316,merchant92,city92,city92,state92,57194,203.25
2019-15,5001560208,4580029399,merchant59,city59,city59,state59,77530,263.71
2019-12,9417732139,7019567516,merchant29,city29,city29,state29,59161,204.32
2019-13,634995391,9279590092,merchant1,city1,city1,state1,42069,88.2
2019-14,1889288396,2143951321,merchant53,city53,city53,state53,87988,117.43
2019-12,3646391743,6741933817,merchant35,city35,city35,state35,95092,106.72
2019-12,3715236427,8958835534,merchant40,city40,city40,state40,21632,136.27
2019-15,9013548770,7608097670,merchant65,city65,city65,state65,77976,57.85
2019-15,476730659,4307105422,merchant25,city25,city25,state25,30785,163.92
2019-15,6311620540,6742349940,merchant44,city44,city44,state44,22009,271
2019-15,5900366169,8184418799,merchant16,city16,city16,state16,30332,259.35
2019-11,8335382298,8195119537,merchant38,city38,city38,state38,74321,63.71
2019-13,9768067357,4804647077,merchant7,city7,city7,state7,36283,92.84
2019-11,9713077150,7500016917,merchant62,city62,city62,state62,55191,230.59
2019-15,5776725743,450201378,merchant52,city52,city52,state52,75415,125.73
2019-15,5987223966,9298508556,merchant95,city95,city95,state95,35701,54.4
2019-15,6605377028,4804647077,merchant7,city7,city7,state7,36283,239.25
2019-12,1827110335,3699674355,merchant51,city51,city51,state51,53182,231.97
2019-11,8093541006,2854756039,merchant94,city94,city94,state94,35095,75.21
2019-14,1216758957,5032861004,merchant26,city26,city26,state26,45850,215.45
2019-11,9768067357,9298508556,merchant95,city95,city95,state95,35701,113.71
2019-14,6591102855,1927274105,merchant30,city30,city30,state30,53188,234.08
2019-13,3731111418,8395061914,merchant76,city76,city76,state76,44258,95.65
2019-12,9607302391,2521997010,merchant88,city88,city88,state88,63108,194.32
2019-15,943157526,2542078802,merchant18,city18,city18,state18,63431,113.19
2019-12,146177382,7767507093,merchant31,city31,city31,state31,35838,258.04
2019-15,8524135444,8524554870,merchant82,city82,city82,state82,39935,147.57
2019-14,5943204062,7287892549,merchant98,city98,city98,state98,76534,71.55
2019-12,8889770580,9279590092,merchant1,city1,city1,state1,42069,147.16
2019-11,1065599156,282029252,merchant46,city46,city46,state46,77353,152.49
2019-11,7834430331,2521997010,merchant88,city88,city88,state88,63108,284.82
2019-13,2827266056,5035605798,merchant14,city14,city14,state14,89309,160.71
2019-11,9955716600,7551242389,merchant61,city61,city61,state61,26385,212.19
2019-14,8451126488,4147187907,merchant33,city33,city33,state33,45420,102.64
2019-15,8300992849,8539393125,merchant90,city90,city90,state90,20839,142.77
2019-11,5943204062,1670073542,merchant77,city77,city77,state77,33312,168.59
2019-14,3887380125,3183111495,merchant23,city23,city23,state23,71840,59.08
2019-11,8944847704,2521997010,merchant88,city88,city88,state88,63108,277.62
2019-12,7834430331,9421169288,merchant54,city54,city54,state54,96171,60.63
2019-14,7529341861,5783216930,merchant81,city81,city81,state81,29410,221.74
2019-15,8730098683,1337860021,merchant57,city57,city57,state57,20280,236.69
2019-11,2064820915,155556316,merchant92,city92,city92,state92,57194,210.01
2019-12,3842884648,8233592212,merchant17,city17,city17,state17,81914,226.92
2019-14,2612615947,9298508556,merchant95,city95,city95,state95,35701,112.78
2019-11,3887380125,3699674355,merchant51,city51,city51,state51,53182,215.56
2019-11,4232000803,5783216930,merchant81,city81,city81,state81,29410,233.87
2019-14,9373057053,9095358316,merchant0,city0,city0,state0,77720,127.68
2019-12,8730098683,8287488530,merchant79,city79,city79,state79,62347,243.03
2019-12,7196850026,4662131396,merchant49,city49,city49,state49,22145,295.6
2019-11,6605377028,8233592212,merchant17,city17,city17,state17,81914,213.42
2019-11,2181145569,4768144021,merchant66,city66,city66,state66,47623,175.53
2019-13,8610252414,8958835534,merchant40,city40,city40,state40,21632,293.82
2019-15,634995391,1337860021,merchant57,city57,city57,state57,20280,234.93
2019-12,6605377028,7500016917,merchant62,city62,city62,state62,55191,140.3
2019-15,6396984062,8040081084,merchant47,city47,city47,state47,74549,212.48
2019-12,5900366169,8195119537,merchant38,city38,city38,state38,74321,68.58
2019-12,5344725035,8195119537,merchant38,city38,city38,state38,74321,120.65
2019-11,2003576520,1670073542,merchant77,city77,city77,state77,33312,243.48
2019-13,5707643621,9421169288,merchant54,city54,city54,state54,96171,207.03
2019-11,1815226794,7771032390,merchant36,city36,city36,state36,25693,85.65
2019-13,6995017868,9513682426,merchant91,city91,city91,state91,80637,67.57
2019-13,3731111418,9095358316,merchant0,city0,city0,state0,77720,146.96
2019-15,7101255339,7608097670,merchant65,city65,city65,state65,77976,55.27
2019-13,8730098683,8539393125,merchant90,city90,city90,state90,20839,138.72
2019-14,9129126210,7019567516,merchant29,city29,city29,state29,59161,205.23
2019-15,5192095761,7567326200,merchant73,city73,city73,state73,57949,190.41
2019-13,7795216822,8788288799,merchant41,city41,city41,state41,68604,57.58
2019-14,4433742286,2375539243,merchant37,city37,city37,state37,49995,96.48
2019-12,2099548339,9095358316,merchant0,city0,city0,state0,77720,132.73
2019-15,3867856154,9528648021,merchant48,city48,city48,state48,44553,121.98
2019-11,8314002278,5783216930,merchant81,city81,city81,state81,29410,125.25
2019-11,295824976,1024320965,merchant60,city60,city60,state60,89320,89.47
2019-11,7429063851,8958835534,merchant40,city40,city40,state40,21632,272.41
2019-11,8645389469,2814297223,merchant67,city67,city67,state67,75209,202.12
2019-12,697239415,282029252,merchant46,city46,city46,state46,77353,189.03
2019-11,7101255339,6781390406,merchant78,city78,city78,state78,73150,310.58
2019-11,8324902437,6781390406,merchant78,city78,city78,state78,73150,285.24
2019-13,943157526,4113714990,merchant13,city13,city13,state13,56099,303.6
2019-13,5662626083,1873153024,merchant55,city55,city55,state55,72161,266.35
2019-14,3842884648,9728299983,merchant19,city19,city19,state19,49251,227.06
2019-13,9360406850,6597088699,merchant80,city80,city80,state80,72192,109.67
2019-12,8610252414,9095358316,merchant0,city0,city0,state0,77720,126.5
2019-15,1803685907,8184418799,merchant16,city16,city16,state16,30332,260.94
2019-13,9373057053,8788288799,merchant41,city41,city41,state41,68604,84.35
2019-14,8645389469,2812047049,merchant58,city58,city58,state58,61016,133.54
2019-14,2222242797,1300557234,merchant64,city64,city64,state64,69260,112.06
2019-15,8823341865,3183111495,merchant23,city23,city23,state23,71840,59.43
2019-11,7529341861,282029252,merchant46,city46,city46,state46,77353,196.4
2019-11,6277647300,5032861004,merchant26,city26,city26,state26,45850,53.21
2019-14,7842669711,8184418799,merchant16,city16,city16,state16,30332,133.92
2019-14,8472103867,7767507093,merchant31,city31,city31,state31,35838,157.53
2019-11,4497137251,9723804904,merchant83,city83,city83,state83,69159,194.22
2019-13,1803882375,2375539243,merchant37,city37,city37,state37,49995,102.84
2019-11,5232424682,450201378,merchant52,city52,city52,state52,75415,142.8
2019-11,2077990442,9776339918,merchant84,city84,city84,state84,34932,72.14
2019-12,4627191884,8287488530,merchant79,city79,city79,state79,62347,266.46
2019-13,8472103867,3014668794,merchant4,city4,city4,state4,62780,257.86
2019-14,3646391743,6462028790,merchant87,city87,city87,state87,85094,229.83
2019-13,2222242797,8233592212,merchant17,city17,city17,state17,81914,220.78
2019-11,2612615947,269161413,merchant39,city39,city39,state39,77784,269.68
2019-12,9189053739,9723804904,merchant83,city83,city83,state83,69159,188.23
2019-11,146177382,8287488530,merchant79,city79,city79,state79,62347,250.92
2019-12,364732911,853605402,merchant45,city45,city45,state45,36133,87.91
2019-15,3307208283,8233592212,merchant17,city17,city17,state17,81914,254.92
2019-14,146177382,6781390406,merchant78,city78,city78,state78,73150,81.26
2019-11,3422303487,9279590092,merchant1,city1,city1,state1,42069,91.14
2019-13,1359014035,7906793806,merchant27,city27,city27,state27,52483,134.57
2019-14,8306458294,9723804904,merchant83,city83,city83,state83,69159,190.26
2019-14,3947027782,8287488530,merchant79,city79,city79,state79,62347,282.49
2019-14,5900366169,1813194650,merchant93,city93,city93,state93,37304,152.92
2019-14,5838106728,2989585334,merchant12,city12,city12,state12,71178,123.79
2019-14,5867418631,3183111495,merchant23,city23,city23,state23,71840,276.4
